City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
carnarvon,76,ZA,1558847833,43,-30.97,22.13,287.012,3.05
busselton,0,AU,1558847764,40,-33.64,115.35,292.59,4.62
samarai,77,PG,1558848039,75,-10.62,150.67,299.412,2.58
upernavik,88,GL,1558847829,83,72.79,-56.15,273.612,3.74
rikitea,100,PF,1558848039,87,-23.12,-134.97,295.712,12.43
mataura,98,NZ,1558847747,90,-46.19,168.86,286.48,1.28
hilo,75,US,1558847469,65,19.71,-155.08,299.15,4.6
flin flon,36,CA,1558848040,42,54.77,-101.88,277.012,2.36
hobart,79,AU,1558847697,82,-42.88,147.33,284.82,1.34
sao joao da barra,4,BR,1558848041,94,-21.64,-41.05,290.212,1.81
bluff,28,AU,1558848042,38,-23.58,149.07,298.612,1.49
castro,0,CL,1558848043,100,-42.48,-73.76,275.15,1.5
albany,90,US,1558847751,72,42.65,-73.75,289.26,7.7
high level,1,CA,1558848043,24,58.52,-117.13,281.15,1
mehamn,100,NO,1558848044,75,71.03,27.85,274.812,7.07
vaini,0,IN,1558847745,58,15.34,74.49,302.15,3.1
ushuaia,75,AR,1558848044,93,-54.81,-68.31,277.15,1.72
farah,0,AF,1558848045,11,32.37,62.11,306.012,9.74
nome,1,US,1558847850,88,30.04,-94.42,299.26,2.45
punta arenas,0,CL,1558847913,80,-53.16,-70.91,274.15,3.6
vilhena,25,BR,1558848046,87,-12.74,-60.15,293.712,0.63
ribeira grande,41,PT,1558848046,90,38.52,-28.7,291.412,4.77
francisco sa,0,BR,1558848047,68,-16.48,-43.49,295.15,1
whitecourt,20,CA,1558848047,35,54.14,-115.68,287.15,1
omboue,100,GA,1558848048,87,-1.57,9.26,299.912,6.03
bandarbeyla,11,SO,1558848048,52,9.49,50.81,304.612,4.05
opuwo,0,NA,1558848048,36,-18.06,13.84,288.912,3.39
naze,97,NG,1558848049,93,5.43,7.07,297.312,1.42
hualmay,99,PE,1558847748,96,-11.1,-77.61,289.612,8.36
inverell,6,AU,1558848050,38,-29.78,151.11,295.93,2.68
ponta do sol,0,BR,1558848050,92,-20.63,-46,282.412,0.91
victoria,75,BN,1558847936,79,5.28,115.24,304.15,1
thompson,20,CA,1558847766,74,55.74,-97.86,271.15,1.5
bethel,90,US,1558848051,76,60.79,-161.76,285.15,4.1
guerrero negro,0,MX,1558848052,78,27.97,-114.04,290.512,3.19
panuco,75,MX,1558848052,49,22.88,-102.54,294.15,6.2
yar-sale,96,RU,1558848052,92,66.83,70.83,273.412,7.84
hermanus,100,ZA,1558848053,54,-34.42,19.24,299.82,1.79
saint-philippe,90,CA,1558848054,93,45.36,-73.48,288.71,4.1
xichang,80,CN,1558848054,64,27.88,102.25,293.012,2.54
makakilo city,20,US,1558848020,57,21.35,-158.09,302.04,2.6
qaanaaq,100,GL,1558847754,78,77.48,-69.36,273.312,0.95
floro,23,NO,1558848055,81,61.6,5.03,280.15,4.1
novo lino,0,BR,1558848055,88,-8.94,-35.66,295.15,1.5
aksarka,83,RU,1558848056,80,66.56,67.8,274.512,6.96
torbay,5,CA,1558848056,93,47.66,-52.73,277.04,2.1
vostok,45,RU,1558848057,35,46.45,135.83,302.012,4.08
dikson,100,RU,1558847843,92,73.51,80.55,272.112,7.29
vardo,1,US,1558848058,100,39.62,-77.74,294.26,1.5
nichinan,75,JP,1558848058,69,31.65,131.31,300.37,4.6
mahebourg,75,MU,1558847980,83,-20.41,57.7,296.15,6.2
jijiga,25,ET,1558848059,67,9.35,42.8,293.112,2.67
iqaluit,20,CA,1558848059,74,63.75,-68.52,274.15,2.1
yulara,0,AU,1558847845,31,-25.24,130.99,296.15,4.6
ostrovnoy,100,RU,1558848060,65,68.05,39.51,277.512,7.26
soligalich,100,RU,1558848120,90,59.08,42.29,288.012,4.44
voh,27,NC,1558848121,79,-20.95,164.69,297.812,4.15
kapaa,90,US,1558847850,74,22.08,-159.32,301.15,4.6
yellowknife,75,CA,1558847758,30,62.45,-114.38,278.15,4.1
kerewan,75,GM,1558848122,88,13.49,-16.09,294.15,5.7
avarua,5,CK,1558848122,69,-21.21,-159.78,297.15,4.6
pangnirtung,73,CA,1558848123,67,66.15,-65.72,270.812,0.33
laje,24,BR,1558848123,98,-13.18,-39.42,292.612,0.15
villacarrillo,0,ES,1558848124,54,38.12,-3.08,289.812,0.57
biak,93,ID,1558848124,91,-0.91,122.88,294.812,1.56
hasaki,0,JP,1558848124,45,35.73,140.83,310.93,4.6
lodwar,32,KE,1558848125,51,3.12,35.6,302.312,3.38
kawhia,0,NZ,1558848125,1,-38.07,174.82,285.93,1.2
saint-augustin,75,FR,1558848126,93,44.83,-0.61,286.48,2.1
camenca,8,MD,1558848126,81,47.82,27.37,291.48,1.79
kruisfontein,99,ZA,1558848127,40,-34,24.73,291.512,3.79
parsabad,0,AZ,1558848127,60,39.65,47.92,297.15,2.1
atuona,80,PF,1558847761,76,-9.8,-139.03,300.612,5.74
chokurdakh,99,RU,1558847849,100,70.62,147.9,274.012,3.73
longyearbyen,75,NO,1558848128,73,78.22,15.63,269.15,5.1
kiunga,82,PG,1558848128,53,-6.12,141.3,305.912,1.4
ahipara,0,NZ,1558848129,100,-35.17,173.16,292.04,4.72
leshukonskoye,100,RU,1558848129,86,64.9,45.76,279.112,5.15
faanui,89,PF,1558848130,77,-16.48,-151.75,301.212,4.62
tolaga bay,0,NZ,1558848130,76,-38.37,178.3,284.412,1.02
marienburg,0,DE,1558848130,81,52.12,9.98,284.82,2.1
pangoa,100,PE,1558848131,87,-12.12,-73,292.812,1.3
touros,75,BR,1558848005,100,-5.2,-35.46,298.15,1.5
inhambane,40,MZ,1558848132,88,-23.87,35.38,292.15,2.83
benguela,0,AO,1558848132,65,-12.58,13.4,299.212,2.59
tuktoyaktuk,75,CA,1558847767,86,69.44,-133.03,274.15,7.7
byron bay,90,AU,1558848133,50,-28.65,153.62,299.26,3.1
aksu,75,KZ,1558848133,34,52.04,76.93,284.15,7
cape town,0,ZA,1558848044,33,-33.93,18.42,299.82,4.6
dali,45,CN,1558848134,40,25.6,100.24,299.012,2.74
khatanga,79,RU,1558848134,100,71.98,102.47,277.512,4.43
hithadhoo,77,MV,1558848135,68,-0.6,73.08,301.912,0.98
port hardy,20,CA,1558847613,76,50.7,-127.42,285.15,3.1
sao filipe,28,CV,1558848136,76,14.9,-24.5,295.012,4.42
simpang,75,MY,1558848136,66,4.82,100.71,305.15,3.1
manaure,100,CO,1558848136,83,11.78,-72.45,300.712,6.41
egvekinot,86,RU,1558848066,99,66.32,-179.17,274.612,2.3
san pedro,100,AR,1558848139,89,-33.68,-59.66,285.37,0.45
cherskiy,51,RU,1558848139,52,68.75,161.3,288.812,4.63
buraydah,0,SA,1558848139,27,26.33,43.97,304.15,1.5
ipixuna,0,BR,1558848140,88,-1.76,-48.8,298.15,2.1
luganville,20,VU,1558848140,65,-15.51,167.18,301.15,3.6
wanning,75,AT,1558848140,87,48.64,13.53,289.26,3.1
maues,59,BR,1558848141,88,-3.38,-57.72,297.112,0.82
santa vitoria do palmar,65,BR,1558848141,89,-33.52,-53.37,284.612,2.68
lashio,44,MM,1558848142,31,22.93,97.75,306.912,1.25
nabire,100,ID,1558847917,70,-3.36,135.5,301.012,1.39
sokolo,65,ML,1558848142,36,14.74,-6.12,305.712,3.38
itarema,87,BR,1558848143,94,-2.92,-39.92,297.412,1.95
greenville,1,US,1558848143,65,34.85,-82.4,300.15,2.15
barrow,98,AR,1558847834,70,-38.31,-60.23,285.312,3.82
oga,100,NG,1558848204,88,8.18,5.65,297.112,3.18
kodiak,75,US,1558848205,82,39.95,-94.76,295.15,10.3
isangel,40,VU,1558848205,78,-19.55,169.27,300.15,2.77
ancud,0,CL,1558848206,100,-41.87,-73.83,275.15,1.5
yanliang,0,CN,1558848206,21,34.66,109.22,305.15,3
tasiilaq,19,GL,1558847915,86,65.61,-37.64,271.15,2.78
nusaybin,0,TR,1558848207,31,37.08,41.21,296.15,4.1
huilong,63,CN,1558848207,55,28.89,110.18,304.912,1.01
shingu,75,JP,1558848208,83,33.72,135.99,297.15,5.7
ahuimanu,1,US,1558848208,69,21.44,-157.84,302.04,4.1
pisco,90,PE,1558848130,72,-13.71,-76.2,292.15,4.6
ilulissat,3,GL,1558848209,70,69.22,-51.1,274.15,1
svetlogorsk,0,RU,1558848209,37,53.14,59.15,284.15,1
la ronge,90,CA,1558848210,61,55.1,-105.3,281.15,1
georgetown,40,GY,1558848181,100,6.8,-58.16,297.15,2.1
nhulunbuy,40,AU,1558848210,55,-12.18,136.78,303.15,5.7
agidel,73,RU,1558848211,56,55.9,53.94,286.712,5.68
